project_id,language,num_jobs,num_steps_total,avg_steps_per_job,dependency_depth,sequence_id,sequence_length,job_sequences,has_checkout,has_setup,has_test,has_build,completeness_score,external_actions_count,has_chained_commands,events,num_events,has_push,has_pull_request,has_schedule,has_workflow_dispatch,schedule_pattern,uses_cache,cache_count,num_cache_keys,cache_keys,uses_reusable_workflows,uses_composite_actions,uses_local_actions,reusable_workflow_count,composite_action_count,local_action_count,total_modularity_constructs,total_actions,pinned_to_sha,pinned_to_tag,pinned_to_branch,unpinned,sha_percentage,tag_percentage,branch_percentage,unpinned_percentage,starts_with_checkout,first_step,last_step
JSv4/OpenContracts,python,2,19,9.5,1,Free Disk Space (Ubuntu) → Checkout Repository → Setup Runtime Environment → Run Static Analysis → Generate Test Coverage → Build Project → Clean Project Artifacts → Execute Tests → Upload Build Artifacts → Upload Coverage,10,[linter]: Free Disk Space (Ubuntu) → Checkout Code Repository → Set up Python → Run pre-commit || [pytest]: Free Disk Space (Ubuntu) → Checkout Code Repository → Store Codecov Env Flags → Build the Stack → Clean Docker build cache and networks → Clean Docker volumes → Run DB Migrations → Collect Static Files → Verify Docker Containers → Inspect Docker Network → Capture Docker Compose Logs → Upload Docker Compose Logs → Build Pytest Coverage File → Upload Coverage Reports to Codecov → Tear down the Stack,1,1,1,1,1.0,5,0,"pull_request, push",2,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,5,0,4,1,0,0.0,80.0,20.0,0.0,False,Free Disk Space (Ubuntu),Upload Coverage
wpilibsuite/PathWeaver,java,1,3,3.0,1,Information → Checkout Repository → Generate Version Metadata,3,[bump]: Information → actions/checkout → Tag and push,1,0,0,0,0.25,1,0,repository_dispatch,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Information,Generate Version Metadata
miachm/SODS,java,1,1,1.0,1,Manage Workflow Automation,1,[greeting]: actions/first-interaction,0,0,0,0,0.0,1,0,issues,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Manage Workflow Automation,Manage Workflow Automation
nuxeo/nuxeo,java,1,4,4.0,1,Print workflow information → Extract Dependency Metadata → Manage Workflow Automation,3,[auto-merge]: Print workflow information → Dependabot metadata → Approve bot PRs → Enable auto-merge for bot PRs,0,0,0,0,0.0,1,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Print workflow information,Manage Workflow Automation
cda-tum/mqt-bench,python,3,7,2.33,3,Download Build Artifacts → Execute Tests → Publish Package → Checkout Repository → Generate Version Metadata → Configure Build Profile → Copy version file to the webserver,7,[python-packaging]: (empty) || [deploy]: actions/download-artifact → Generate artifact attestation for sdist and wheel(s) → pypa/gh-action-pypi-publish || [upload_webserver]: actions/checkout → Create version file → Setup SSH via the stored Action Secrets → Copy version file to the webserver,1,1,1,0,0.75,4,0,"pull_request, release, workflow_dispatch",3,0,1,0,1,,0,0,0,,1,0,0,1,0,0,1,4,0,3,1,0,0.0,75.0,25.0,0.0,False,Download Build Artifacts,Copy version file to the webserver
klei1984/max,c++,6,42,7.0,1,Set build configuration → Install Project Dependencies → Checkout Repository → Build Project → Execute Tests → Build Source Code → Upload Build Artifacts → Setup Runtime Environment,8,[Linux-x64]: Set build configuration → Setup Dependencies → Checkout → Build → Test → Package Source → Upload Artifacts || [Linux-x86]: Set build configuration → Setup Dependencies → Checkout → Build → Test → Package Source → Upload Artifacts || [WindowsXP-x64]: Set build configuration → Setup Dependencies → Checkout → Build → Package → Upload Artifacts || [WindowsXP-x86]: Set build configuration → Setup Dependencies → Checkout → Build → Package → Upload Artifacts || [Windows-x64]: Install MSYS2 → Set build configuration → Setup Dependencies → Checkout → Build → Test → Package → Upload Artifacts || [Windows-x86]: Install MSYS2 → Set build configuration → Setup Dependencies → Checkout → Build → Test → Package → Upload Artifacts,1,1,1,1,1.0,3,1,"pull_request, push, workflow_dispatch",3,1,1,0,1,,0,0,0,,0,0,0,0,0,0,0,3,0,3,0,0,0.0,100.0,0.0,0.0,False,Set build configuration,Setup Runtime Environment
spring-projects/spring-data-commons,java,3,3,1.0,1,Send Notification,1,[Inbox]: Create or Update Issue Card || [Pull-Request]: Create or Update Pull Request Card || [Feedback-Provided]: Update Project Card,0,0,0,0,0.0,1,0,"issue_comment, issues, pull_request_target",3,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Send Notification,Send Notification
NVIDIA/cutlass,c++,1,1,1.0,1,Manage Labels,1,[triage]: actions/labeler,0,0,0,0,0.0,1,0,pull_request_target,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,100.0,0.0,False,Manage Labels,Manage Labels
google/flutter-desktop-embedding,c++,1,1,1.0,1,dessant/lock-threads,1,[lock]: dessant/lock-threads,0,0,0,0,0.0,1,0,schedule,1,0,0,1,0,0 0 * * *,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,100.0,0.0,0.0,0.0,False,dessant/lock-threads,dessant/lock-threads
mlverse/torch,c++,1,9,9.0,1,Install Project Dependencies → Checkout Repository → Setup Build Environment → Install CUDA → Install CuDNN → Build Source Code → Build Project → Upload Build Artifacts → ./.github/actions/upload-s3,9,[build]: Install system dependencies → actions/checkout → Setup cmake → Install CUDA → Install CuDNN → Run cmake → Build libs → actions/upload-artifact → ./.github/actions/upload-s3,1,1,0,1,0.75,4,0,workflow_call,1,0,0,0,0,,0,0,0,,0,0,1,0,0,2,2,4,0,4,0,0,0.0,100.0,0.0,0.0,False,Install Project Dependencies,./.github/actions/upload-s3
google/fuzztest,c++,1,10,10.0,1,Disable core dumping and piping due to slowness → Checkout Repository → Install Project Dependencies → Execute Tests → Manage Build Cache → Build Project,6,[run_tests]: Disable core dumping and piping due to slowness → Checkout repository → Install dependencies → Setup --config=fuzztest for Bazel → Restore latest cache → Run all tests with default --config → Build test for the compatibility mode → Run end-to-end tests with --config=fuzztest → Run end-to-end tests with --config=fuzztest-experimental → Save new cache based on main,1,0,1,1,0.75,3,1,"pull_request, push, schedule, workflow_dispatch",4,1,1,1,1,0 8 * * *,1,2,2,bazel-cache-${{ matrix.config }}-${{ matrix.compilation_mode }} | bazel-cache-${{ matrix.config }}-${{ matrix.compilation_mode }}-${{ github.run_id }},0,0,0,0,0,0,0,3,0,3,0,0,0.0,100.0,0.0,0.0,False,Disable core dumping and piping due to slowness,Build Project
chaoss/grimoirelab-sortinghat,python,1,1,1.0,1,Publish Release,1,[check-changelog]: bitergia/release-tools-check-changelog,0,0,0,0,0.0,1,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,100.0,0.0,False,Publish Release,Publish Release
fooyin/fooyin,c++,4,19,4.75,1,Install git → Checkout Repository → Dependencies → Build Project → Upload Build Artifacts → Install Project Dependencies,6,[archlinux]: Install git → Checkout → Dependencies → Build || [fedora]: Install git → Checkout → Dependencies → Build → Upload artifacts || [debian]: Install git → Checkout → Dependencies → Build → Upload artifacts || [ubuntu]: Install git → Checkout → Dependencies → Build → Upload artifacts,1,0,0,1,0.5,2,0,"pull_request, push, release",3,1,1,0,0,,0,0,0,,0,0,0,0,0,0,0,2,0,2,0,0,0.0,100.0,0.0,0.0,False,Install git,Install Project Dependencies
samolego/Taterzens,java,1,7,7.0,1,Manage Build Cache → Checkout Repository → Verify Build Integrity → Setup Runtime Environment → Setup Build Environment → Build Project → Upload Build Artifacts,7,[build]: actions/cache → checkout repository → validate gradle wrapper → Set up JDK → make gradle wrapper executable → build → capture build artifacts,1,1,0,1,0.75,5,0,"pull_request, push",2,1,1,0,0,,1,1,1,"gradle-${{ hashFiles('**/*.gradle*', '**/gradle-wrapper.properties') }}",0,0,0,0,0,0,0,5,0,5,0,0,0.0,100.0,0.0,0.0,False,Manage Build Cache,Upload Build Artifacts
